2024-10-24T13:02:47.534388071Z + [[ -f /env/_master ]]
2024-10-24T13:02:47.534755921Z ++ date '+%m%d %H:%M:%S.%N'
2024-10-24T13:02:47.536436732Z I1024 13:02:47.536072432 - network-node-identity - start approver
2024-10-24T13:02:47.536469782Z + echo 'I1024 13:02:47.536072432 - network-node-identity - start approver'
2024-10-24T13:02:47.536469782Z + exec /usr/bin/ovnkube-identity --k8s-apiserver=https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443 --disable-webhook --csr-acceptance-conditions=/var/run/ovnkube-identity-config/additional-cert-acceptance-cond.json --loglevel=4
2024-10-24T13:02:47.556865901Z I1024 13:02:47.556723       1 ovnkubeidentity.go:132] Config: {kubeconfig: apiServer:https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443 logLevel:4 port:9443 host:localhost certDir: metricsAddress:0 leaseNamespace: enableInterconnect:false enableHybridOverlay:false disableWebhook:true disableApprover:false waitForKAPIDuration:0 localKAPIPort:6443 extraAllowedUsers:{slice:[] hasBeenSet:false} csrAcceptanceConditionFile:/var/run/ovnkube-identity-config/additional-cert-acceptance-cond.json csrAcceptanceConditions:[] podAdmissionConditionFile: podAdmissionConditions:[]}
2024-10-24T13:12:10.975600826Z I1024 13:12:10.975537       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:13:15.741058982Z E1024 13:13:15.740940       1 leaderelection.go:347] error retrieving resource lock openshift-network-node-identity/ovnkube-identity: Get "https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443/apis/coordination.k8s.io/v1/namespaces/openshift-network-node-identity/leases/ovnkube-identity": dial tcp 10.0.0.2:6443: i/o timeout
2024-10-24T13:13:15.741058982Z I1024 13:13:15.741011       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:14:06.080268789Z E1024 13:14:06.080123       1 leaderelection.go:347] error retrieving resource lock openshift-network-node-identity/ovnkube-identity: Get "https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443/apis/coordination.k8s.io/v1/namespaces/openshift-network-node-identity/leases/ovnkube-identity": dial tcp 10.0.0.2:6443: i/o timeout
2024-10-24T13:14:06.080268789Z I1024 13:14:06.080168       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:15:18.611327985Z I1024 13:15:18.611212       1 leaderelection.go:260] successfully acquired lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:15:18.612317496Z I1024 13:15:18.612287       1 controller.go:173] "Starting EventSource" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" source="kind source: *v1.CertificateSigningRequest"
2024-10-24T13:15:18.616039976Z I1024 13:15:18.615988       1 controller.go:181] "Starting Controller" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest"
2024-10-24T13:15:18.616470266Z I1024 13:15:18.616447       1 recorder.go:104] "ci-op-2fcpj5j6-f6035-2lklf-master-2_9de4a77b-649e-485b-acb4-e4f9904ae344 became leader" logger="events" type="Normal" object={"kind":"Lease","namespace":"openshift-network-node-identity","name":"ovnkube-identity","uid":"9f6e996c-2f74-438e-9db4-a56fd5b4299b","apiVersion":"coordination.k8s.io/v1","resourceVersion":"19210"} reason="LeaderElection"
2024-10-24T13:15:18.718621303Z I1024 13:15:18.718526       1 reflector.go:296] Starting reflector *v1.CertificateSigningRequest (9h13m5.675788879s) from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:15:18.718769083Z I1024 13:15:18.718743       1 reflector.go:332] Listing and watching *v1.CertificateSigningRequest from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:15:18.927868518Z I1024 13:15:18.927016       1 reflector.go:359] Caches populated for *v1.CertificateSigningRequest from sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106
2024-10-24T13:15:19.019448163Z I1024 13:15:19.019366       1 controller.go:215] "Starting workers" controller="certificatesigningrequest" controllerGroup="certificates.k8s.io" controllerKind="CertificateSigningRequest" worker count=1
2024-10-24T13:15:19.020481554Z I1024 13:15:19.020435       1 recorder.go:104] "CSR \"csr-7zqpm\" has been approved" logger="events" type="Normal" object={"kind":"CertificateSigningRequest","name":"csr-7zqpm"} reason="CSRApproved"
2024-10-24T13:15:19.100084057Z I1024 13:15:19.100018       1 approver.go:230] Finished syncing CSR csr-7zqpm for ci-op-2fcpj5j6-f6035-2lklf-worker-a-8hj4x node in 80.392543ms
2024-10-24T13:15:19.100334967Z I1024 13:15:19.100317       1 approver.go:230] Finished syncing CSR csr-d42fm for unknown node in 72.66µs
2024-10-24T13:15:19.100463447Z I1024 13:15:19.100448       1 approver.go:230] Finished syncing CSR csr-2h6qj for unknown node in 33.85µs
2024-10-24T13:15:19.100906357Z I1024 13:15:19.100878       1 approver.go:230] Finished syncing CSR csr-5plv2 for unknown node in 83.41µs
2024-10-24T13:15:19.101668957Z I1024 13:15:19.101647       1 approver.go:230] Finished syncing CSR csr-n4w6t for unknown node in 19.42µs
2024-10-24T13:15:19.101954217Z I1024 13:15:19.101936       1 approver.go:230] Finished syncing CSR csr-d5vph for unknown node in 36.87µs
2024-10-24T13:15:19.102049597Z I1024 13:15:19.102032       1 approver.go:230] Finished syncing CSR csr-f9q29 for unknown node in 30.54µs
2024-10-24T13:15:19.102271987Z I1024 13:15:19.102254       1 approver.go:230] Finished syncing CSR csr-7zqpm for unknown node in 19.72µs
2024-10-24T13:15:23.056663358Z I1024 13:15:23.056595       1 approver.go:230] Finished syncing CSR csr-7zqpm for unknown node in 76.93µs
2024-10-24T13:16:05.849757524Z E1024 13:16:05.849658       1 leaderelection.go:340] Failed to update lock optimitically: rpc error: code = DeadlineExceeded desc = context deadline exceeded, falling back to slow path
2024-10-24T13:16:26.889168326Z I1024 13:16:26.889047       1 reflector.go:808] sigs.k8s.io/controller-runtime/pkg/cache/internal/informers.go:106: Watch close - *v1.CertificateSigningRequest total 11 items received
2024-10-24T13:16:28.791752695Z E1024 13:16:28.791634       1 leaderelection.go:347] error retrieving resource lock openshift-network-node-identity/ovnkube-identity: Get "https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443/apis/coordination.k8s.io/v1/namespaces/openshift-network-node-identity/leases/ovnkube-identity": context deadline exceeded
2024-10-24T13:16:28.791752695Z I1024 13:16:28.791695       1 leaderelection.go:285] failed to renew lease openshift-network-node-identity/ovnkube-identity: timed out waiting for the condition
2024-10-24T13:16:35.800008819Z E1024 13:16:35.799878       1 leaderelection.go:308] Failed to release lock: rpc error: code = DeadlineExceeded desc = context deadline exceeded
2024-10-24T13:16:35.800092359Z I1024 13:16:35.800012       1 recorder.go:104] "ci-op-2fcpj5j6-f6035-2lklf-master-2_9de4a77b-649e-485b-acb4-e4f9904ae344 stopped leading" logger="events" type="Normal" object={"kind":"Lease","namespace":"openshift-network-node-identity","name":"ovnkube-identity","uid":"9f6e996c-2f74-438e-9db4-a56fd5b4299b","apiVersion":"coordination.k8s.io/v1","resourceVersion":"20268"} reason="LeaderElection"
2024-10-24T13:16:35.800092359Z F1024 13:16:35.800026       1 ovnkubeidentity.go:308] error running approver: leader election lost
