2024-10-24T13:34:03.929816136Z I1024 13:34:03.929559       1 base_controller.go:68] Waiting for caches to sync for CertSyncController
2024-10-24T14:08:00.876277467Z I1024 14:08:00.876112       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.876813437Z I1024 14:08:00.876741       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.891837545Z I1024 14:08:00.891748       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.892303175Z I1024 14:08:00.892237       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.907595084Z I1024 14:08:00.907495       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.909655804Z I1024 14:08:00.909584       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.923377143Z I1024 14:08:00.923291       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.923912013Z I1024 14:08:00.923812       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.942061742Z I1024 14:08:00.941948       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.942472852Z I1024 14:08:00.942430       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.958684851Z I1024 14:08:00.958609       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.958981111Z I1024 14:08:00.958944       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.973596110Z I1024 14:08:00.973493       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.973866810Z I1024 14:08:00.973838       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:00.989617349Z I1024 14:08:00.989496       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:00.989933229Z I1024 14:08:00.989871       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.004327538Z I1024 14:08:01.004254       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.004708818Z I1024 14:08:01.004649       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.021830407Z I1024 14:08:01.021582       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.021961727Z I1024 14:08:01.021921       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.039628526Z I1024 14:08:01.039219       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.039921376Z I1024 14:08:01.039770       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.061225934Z I1024 14:08:01.061085       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.061735384Z I1024 14:08:01.061566       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.088027972Z I1024 14:08:01.087918       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.088482822Z I1024 14:08:01.088438       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.128498440Z I1024 14:08:01.128420       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.129099950Z I1024 14:08:01.129062       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.160866277Z I1024 14:08:01.160793       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.165904907Z I1024 14:08:01.162442       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.216538594Z I1024 14:08:01.216446       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.216964784Z I1024 14:08:01.216928       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.218471604Z I1024 14:08:01.218414       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.218748944Z I1024 14:08:01.218722       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.249287832Z I1024 14:08:01.249216       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.250319262Z I1024 14:08:01.250285       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.274560550Z I1024 14:08:01.274448       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.275364920Z I1024 14:08:01.275333       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.292955989Z I1024 14:08:01.292871       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.293487239Z I1024 14:08:01.293424       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.318018877Z I1024 14:08:01.317955       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.318514347Z I1024 14:08:01.318474       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.346520655Z I1024 14:08:01.346446       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.346972955Z I1024 14:08:01.346914       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.368564324Z I1024 14:08:01.368484       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.369303654Z I1024 14:08:01.369274       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.392890272Z I1024 14:08:01.392821       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.393403822Z I1024 14:08:01.393364       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.414485641Z I1024 14:08:01.414392       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.414968811Z I1024 14:08:01.414918       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.431030440Z I1024 14:08:01.430953       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.431340790Z I1024 14:08:01.431275       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.445492519Z I1024 14:08:01.445415       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.446357749Z I1024 14:08:01.446301       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.463597188Z I1024 14:08:01.463202       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.463677677Z I1024 14:08:01.463601       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.479894236Z I1024 14:08:01.479805       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.480204497Z I1024 14:08:01.480104       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.497519025Z I1024 14:08:01.497437       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.498076585Z I1024 14:08:01.498015       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.522358414Z I1024 14:08:01.522282       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.522802894Z I1024 14:08:01.522762       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.537899963Z I1024 14:08:01.537792       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.538452542Z I1024 14:08:01.538415       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.554099511Z I1024 14:08:01.554028       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.554550861Z I1024 14:08:01.554528       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.571896080Z I1024 14:08:01.571825       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.572464980Z I1024 14:08:01.572423       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.595800949Z I1024 14:08:01.595729       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.596343569Z I1024 14:08:01.596311       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.614703097Z I1024 14:08:01.614627       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.615114267Z I1024 14:08:01.615078       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.628530717Z I1024 14:08:01.628435       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.628849267Z I1024 14:08:01.628796       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.647511416Z I1024 14:08:01.647442       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.647837815Z I1024 14:08:01.647802       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.664359614Z I1024 14:08:01.664284       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.664721034Z I1024 14:08:01.664672       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.677857083Z I1024 14:08:01.677744       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.678454304Z I1024 14:08:01.678341       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.691741232Z I1024 14:08:01.691665       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.692095673Z I1024 14:08:01.691968       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.705932251Z I1024 14:08:01.705863       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.706352532Z I1024 14:08:01.706313       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.720682191Z I1024 14:08:01.720612       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.723758171Z I1024 14:08:01.723658       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.735471560Z I1024 14:08:01.735390       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.735807839Z I1024 14:08:01.735768       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.753105518Z I1024 14:08:01.753017       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.753466108Z I1024 14:08:01.753380       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.769883147Z I1024 14:08:01.769803       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.770217367Z I1024 14:08:01.770160       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.783214786Z I1024 14:08:01.783085       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.783551716Z I1024 14:08:01.783483       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.801645285Z I1024 14:08:01.801564       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.802098215Z I1024 14:08:01.802018       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.819905814Z I1024 14:08:01.819826       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.820312924Z I1024 14:08:01.820206       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.839580443Z I1024 14:08:01.839500       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.839883043Z I1024 14:08:01.839845       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.858615471Z I1024 14:08:01.858505       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.858960562Z I1024 14:08:01.858897       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.881876570Z I1024 14:08:01.881811       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.886407780Z I1024 14:08:01.886329       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.899466679Z I1024 14:08:01.899394       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.899798139Z I1024 14:08:01.899746       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.921809997Z I1024 14:08:01.921716       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.922034937Z I1024 14:08:01.922002       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.938213616Z I1024 14:08:01.938089       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.938670256Z I1024 14:08:01.938629       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.956954035Z I1024 14:08:01.956878       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.957536535Z I1024 14:08:01.957490       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.976086614Z I1024 14:08:01.975993       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.976428654Z I1024 14:08:01.976369       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:01.992796383Z I1024 14:08:01.992696       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:01.997477972Z I1024 14:08:01.997278       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:02.014980891Z I1024 14:08:02.014906       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:02.015544671Z I1024 14:08:02.015500       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:02.039161829Z I1024 14:08:02.039069       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:02.039744870Z I1024 14:08:02.039688       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:02.058836528Z I1024 14:08:02.058760       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:02.059613338Z I1024 14:08:02.059566       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:02.075082957Z I1024 14:08:02.075003       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:02.075620727Z I1024 14:08:02.075586       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2024-10-24T14:08:02.091394596Z I1024 14:08:02.091323       1 certsync_controller.go:74] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2024-10-24T14:08:02.091893296Z I1024 14:08:02.091863       1 certsync_controller.go:178] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
