2024-10-24T13:31:11.310088339Z I1024 13:31:11.309814       1 cmd.go:91] &{<nil> true {false} installer true map[cert-configmaps:0xc000a35cc0 cert-dir:0xc000a35ea0 cert-secrets:0xc000a35c20 configmaps:0xc000a357c0 namespace:0xc000a355e0 pod:0xc000a35680 pod-manifest-dir:0xc000a35a40 resource-dir:0xc000a359a0 revision:0xc000a35540 secrets:0xc000a35720 v:0xc000a345a0] [0xc000a345a0 0xc000a35540 0xc000a355e0 0xc000a35680 0xc000a359a0 0xc000a35a40 0xc000a357c0 0xc000a35720 0xc000a35ea0 0xc000a35cc0 0xc000a35c20] [] map[cert-configmaps:0xc000a35cc0 cert-dir:0xc000a35ea0 cert-secrets:0xc000a35c20 configmaps:0xc000a357c0 help:0xc00013b680 kubeconfig:0xc000a354a0 log-flush-frequency:0xc000a34500 namespace:0xc000a355e0 optional-cert-configmaps:0xc000a35e00 optional-cert-secrets:0xc000a35d60 optional-configmaps:0xc000a35900 optional-secrets:0xc000a35860 pod:0xc000a35680 pod-manifest-dir:0xc000a35a40 pod-manifests-lock-file:0xc000a35b80 resource-dir:0xc000a359a0 revision:0xc000a35540 secrets:0xc000a35720 timeout-duration:0xc000a35ae0 v:0xc000a345a0 vmodule:0xc000a34640] [0xc000a354a0 0xc000a35540 0xc000a355e0 0xc000a35680 0xc000a35720 0xc000a357c0 0xc000a35860 0xc000a35900 0xc000a359a0 0xc000a35a40 0xc000a35ae0 0xc000a35b80 0xc000a35c20 0xc000a35cc0 0xc000a35d60 0xc000a35e00 0xc000a35ea0 0xc000a34500 0xc000a345a0 0xc000a34640 0xc00013b680] [0xc000a35cc0 0xc000a35ea0 0xc000a35c20 0xc000a357c0 0xc00013b680 0xc000a354a0 0xc000a34500 0xc000a355e0 0xc000a35e00 0xc000a35d60 0xc000a35900 0xc000a35860 0xc000a35680 0xc000a35a40 0xc000a35b80 0xc000a359a0 0xc000a35540 0xc000a35720 0xc000a35ae0 0xc000a345a0 0xc000a34640] map[104:0xc00013b680 118:0xc000a345a0] [] -1 0 0xc00071eab0 true <nil> []}
2024-10-24T13:31:41.523926893Z I1024 13:31:41.523897       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-endpoints/d70ee276ae23755c" ...
2024-10-24T13:31:41.524037643Z I1024 13:31:41.524008       1 cmd.go:273] Creating directory "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-pod" ...
2024-10-24T13:31:41.524172863Z I1024 13:31:41.524143       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-pod/pod.yaml" ...
2024-10-24T13:31:41.524337303Z I1024 13:31:41.524309       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-pod/version" ...
2024-10-24T13:31:41.524445073Z I1024 13:31:41.524421       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-pod/forceRedeploymentReason" ...
2024-10-24T13:31:41.524556133Z I1024 13:31:41.524516       1 cmd.go:217] Creating target resource directory "/etc/kubernetes/static-pod-resources/etcd-certs" ...
2024-10-24T13:31:41.524556133Z I1024 13:31:41.524536       1 cmd.go:225] Getting secrets ...
2024-10-24T13:31:41.534420423Z I1024 13:31:41.534332       1 copy.go:32] Got secret openshift-etcd/etcd-all-certs
2024-10-24T13:31:41.534558503Z I1024 13:31:41.534518       1 cmd.go:238] Getting config maps ...
2024-10-24T13:31:41.542778723Z I1024 13:31:41.542686       1 copy.go:60] Got configMap openshift-etcd/etcd-all-bundles
2024-10-24T13:31:41.551066312Z I1024 13:31:41.550980       1 copy.go:60] Got configMap openshift-etcd/etcd-scripts
2024-10-24T13:31:41.560053912Z I1024 13:31:41.559963       1 copy.go:60] Got configMap openshift-etcd/restore-etcd-pod
2024-10-24T13:31:41.560053912Z I1024 13:31:41.560033       1 cmd.go:257] Creating directory "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs" ...
2024-10-24T13:31:41.560119892Z I1024 13:31:41.560073       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-0.crt" ...
2024-10-24T13:31:41.600692600Z I1024 13:31:41.560304       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-0.key" ...
2024-10-24T13:31:41.600692600Z I1024 13:31:41.560407       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-2.key" ...
2024-10-24T13:31:41.600692600Z I1024 13:31:41.560505       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-2.key" ...
2024-10-24T13:31:41.600692600Z I1024 13:31:41.560599       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt" ...
2024-10-24T13:31:41.600692600Z I1024 13:31:41.560688       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-0.crt" ...
2024-10-24T13:31:41.600692600Z I1024 13:31:41.560807       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-0.crt" ...
2024-10-24T13:31:41.601137941Z I1024 13:31:41.601090       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-0.key" ...
2024-10-24T13:31:41.601235181Z I1024 13:31:41.601214       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.key" ...
2024-10-24T13:31:41.601381351Z I1024 13:31:41.601330       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-1.key" ...
2024-10-24T13:31:41.601476691Z I1024 13:31:41.601452       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-1.key" ...
2024-10-24T13:31:41.601590800Z I1024 13:31:41.601565       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-0.key" ...
2024-10-24T13:31:41.601704331Z I1024 13:31:41.601681       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-1.key" ...
2024-10-24T13:31:41.601861500Z I1024 13:31:41.601804       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-1.crt" ...
2024-10-24T13:31:41.602067731Z I1024 13:31:41.602034       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-1.crt" ...
2024-10-24T13:31:41.602245881Z I1024 13:31:41.602173       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt" ...
2024-10-24T13:31:41.602300470Z I1024 13:31:41.602284       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt" ...
2024-10-24T13:31:41.602409210Z I1024 13:31:41.602377       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-certs/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-1.crt" ...
2024-10-24T13:31:41.602505171Z I1024 13:31:41.602486       1 cmd.go:273] Creating directory "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-all-bundles" ...
2024-10-24T13:31:41.602537141Z I1024 13:31:41.602520       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-all-bundles/server-ca-bundle.crt" ...
2024-10-24T13:31:41.602647591Z I1024 13:31:41.602619       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-all-bundles/metrics-ca-bundle.crt" ...
2024-10-24T13:31:41.602755531Z I1024 13:31:41.602725       1 cmd.go:273] Creating directory "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-scripts" ...
2024-10-24T13:31:41.602755531Z I1024 13:31:41.602747       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-scripts/disable-etcd.sh" ...
2024-10-24T13:31:41.602928411Z I1024 13:31:41.602891       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-scripts/etcd-common-tools" ...
2024-10-24T13:31:41.603068851Z I1024 13:31:41.603031       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-scripts/etcd.env" ...
2024-10-24T13:31:41.603229981Z I1024 13:31:41.603142       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-scripts/quorum-restore.sh" ...
2024-10-24T13:31:41.603253461Z I1024 13:31:41.603233       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-scripts/cluster-backup.sh" ...
2024-10-24T13:31:41.603390550Z I1024 13:31:41.603350       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/etcd-scripts/cluster-restore.sh" ...
2024-10-24T13:31:41.603498450Z I1024 13:31:41.603475       1 cmd.go:273] Creating directory "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/restore-etcd-pod" ...
2024-10-24T13:31:41.603498450Z I1024 13:31:41.603493       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/restore-etcd-pod/forceRedeploymentReason" ...
2024-10-24T13:31:41.603630120Z I1024 13:31:41.603606       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/restore-etcd-pod/pod.yaml" ...
2024-10-24T13:31:41.603775860Z I1024 13:31:41.603752       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/restore-etcd-pod/quorum-restore-pod.yaml" ...
2024-10-24T13:31:41.604031260Z I1024 13:31:41.603997       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-certs/configmaps/restore-etcd-pod/version" ...
2024-10-24T13:31:41.604204470Z I1024 13:31:41.604113       1 cmd.go:331] Getting pod configmaps/etcd-pod-13 -n openshift-etcd
2024-10-24T13:31:41.647066719Z I1024 13:31:41.646965       1 cmd.go:347] Creating directory for static pod manifest "/etc/kubernetes/manifests" ...
2024-10-24T13:31:41.647066719Z I1024 13:31:41.647029       1 cmd.go:375] Writing a pod under "etcd-pod.yaml" key 
2024-10-24T13:31:41.647066719Z apiVersion: v1
2024-10-24T13:31:41.647066719Z kind: Pod
2024-10-24T13:31:41.647066719Z metadata:
2024-10-24T13:31:41.647066719Z   name: etcd
2024-10-24T13:31:41.647066719Z   namespace: openshift-etcd
2024-10-24T13:31:41.647066719Z   annotations:
2024-10-24T13:31:41.647066719Z     kubectl.kubernetes.io/default-container: etcd
2024-10-24T13:31:41.647066719Z     target.workload.openshift.io/management: '{"effect": "PreferredDuringScheduling"}'
2024-10-24T13:31:41.647066719Z   labels:
2024-10-24T13:31:41.647066719Z     app: etcd
2024-10-24T13:31:41.647066719Z     k8s-app: etcd
2024-10-24T13:31:41.647066719Z     etcd: "true"
2024-10-24T13:31:41.647066719Z     revision: "13"
2024-10-24T13:31:41.647066719Z spec:
2024-10-24T13:31:41.647066719Z   initContainers:
2024-10-24T13:31:41.647066719Z     - name: setup
2024-10-24T13:31:41.647066719Z       image: registry.build02.ci.openshift.org/ci-op-2fcpj5j6/stable@sha256:a5ffe3489a5c049cb2bae31ba55fa7e3a7654d93d833a78f6c0506d2d7c1b272
2024-10-24T13:31:41.647066719Z       imagePullPolicy: IfNotPresent
2024-10-24T13:31:41.647066719Z       terminationMessagePolicy: FallbackToLogsOnError
2024-10-24T13:31:41.647066719Z       command:
2024-10-24T13:31:41.647066719Z         - /bin/sh
2024-10-24T13:31:41.647066719Z         - -c
2024-10-24T13:31:41.647066719Z         - |
2024-10-24T13:31:41.647066719Z           #!/bin/sh
2024-10-24T13:31:41.647066719Z           echo -n "Fixing etcd log permissions."
2024-10-24T13:31:41.647066719Z           mkdir -p /var/log/etcd  && chmod 0600 /var/log/etcd
2024-10-24T13:31:41.647066719Z           echo -n "Fixing etcd auto backup permissions."
2024-10-24T13:31:41.647066719Z           mkdir -p /var/lib/etcd-auto-backup  && chmod 0600 /var/lib/etcd-auto-backup
2024-10-24T13:31:41.647066719Z       securityContext:
2024-10-24T13:31:41.647066719Z         privileged: true
2024-10-24T13:31:41.647066719Z       resources:
2024-10-24T13:31:41.647066719Z         requests:
2024-10-24T13:31:41.647066719Z           memory: 50Mi
2024-10-24T13:31:41.647066719Z           cpu: 5m
2024-10-24T13:31:41.647066719Z       volumeMounts:
2024-10-24T13:31:41.647066719Z         - mountPath: /var/log/etcd
2024-10-24T13:31:41.647066719Z           name: log-dir
2024-10-24T13:31:41.647066719Z     - name: etcd-ensure-env-vars
