2024-10-24T13:03:27.739016785Z ++ K8S_NODE=ci-op-2fcpj5j6-f6035-2lklf-master-0
2024-10-24T13:03:27.739016785Z ++ [[ -n ci-op-2fcpj5j6-f6035-2lklf-master-0 ]]
2024-10-24T13:03:27.739016785Z ++ [[ -f /env/ci-op-2fcpj5j6-f6035-2lklf-master-0 ]]
2024-10-24T13:03:27.739016785Z ++ northd_pidfile=/var/run/ovn/ovn-northd.pid
2024-10-24T13:03:27.739016785Z ++ controller_pidfile=/var/run/ovn/ovn-controller.pid
2024-10-24T13:03:27.739016785Z ++ controller_logfile=/var/log/ovn/acl-audit-log.log
2024-10-24T13:03:27.739016785Z ++ vswitch_dbsock=/var/run/openvswitch/db.sock
2024-10-24T13:03:27.739016785Z ++ nbdb_pidfile=/var/run/ovn/ovnnb_db.pid
2024-10-24T13:03:27.739016785Z ++ nbdb_sock=/var/run/ovn/ovnnb_db.sock
2024-10-24T13:03:27.739016785Z ++ nbdb_ctl=/var/run/ovn/ovnnb_db.ctl
2024-10-24T13:03:27.739278325Z ++ sbdb_pidfile=/var/run/ovn/ovnsb_db.pid
2024-10-24T13:03:27.739278325Z ++ sbdb_sock=/var/run/ovn/ovnsb_db.sock
2024-10-24T13:03:27.739278325Z ++ sbdb_ctl=/var/run/ovn/ovnsb_db.ctl
2024-10-24T13:03:27.739933275Z + start-ovn-controller info
2024-10-24T13:03:27.739933275Z + local log_level=info
2024-10-24T13:03:27.739933275Z + [[ 1 -ne 1 ]]
2024-10-24T13:03:27.740434025Z ++ date -Iseconds
2024-10-24T13:03:27.742596944Z + echo '2024-10-24T13:03:27+00:00 - starting ovn-controller'
2024-10-24T13:03:27.742640495Z 2024-10-24T13:03:27+00:00 - starting ovn-controller
2024-10-24T13:03:27.742662575Z + exec ovn-controller unix:/var/run/openvswitch/db.sock -vfile:off --no-chdir --pidfile=/var/run/ovn/ovn-controller.pid --syslog-method=null --log-file=/var/log/ovn/acl-audit-log.log -vFACILITY:local0 -vconsole:info -vconsole:acl_log:off '-vPATTERN:console:%D{%Y-%m-%dT%H:%M:%S.###Z}|%05N|%c%T|%p|%m' -vsyslog:acl_log:info -vfile:acl_log:info
2024-10-24T13:03:55.795814208Z 2024-10-24T13:03:55.795Z|00060|binding|INFO|Setting lport openshift-kube-scheduler_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:03:55.795814208Z 2024-10-24T13:03:55.795Z|00061|binding|INFO|Setting lport openshift-kube-scheduler_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:03:55.800772418Z 2024-10-24T13:03:55.800Z|00062|binding|INFO|Claiming lport openshift-oauth-apiserver_apiserver-6f5fbdd644-gqhhc for this chassis.
2024-10-24T13:03:55.800844158Z 2024-10-24T13:03:55.800Z|00063|binding|INFO|openshift-oauth-apiserver_apiserver-6f5fbdd644-gqhhc: Claiming 0a:58:0a:81:00:09 10.129.0.9
2024-10-24T13:03:55.826433447Z 2024-10-24T13:03:55.826Z|00064|binding|INFO|Setting lport openshift-oauth-apiserver_apiserver-6f5fbdd644-gqhhc ovn-installed in OVS
2024-10-24T13:03:55.826510986Z 2024-10-24T13:03:55.826Z|00065|binding|INFO|Setting lport openshift-oauth-apiserver_apiserver-6f5fbdd644-gqhhc up in Southbound
2024-10-24T13:04:06.120086775Z 2024-10-24T13:04:06.120Z|00066|binding|INFO|Releasing lport openshift-kube-scheduler_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:04:06.120217745Z 2024-10-24T13:04:06.120Z|00067|binding|INFO|Setting lport openshift-kube-scheduler_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:04:09.907927157Z 2024-10-24T13:04:09.907Z|00068|binding|INFO|Claiming lport openshift-kube-scheduler_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:04:09.908015017Z 2024-10-24T13:04:09.907Z|00069|binding|INFO|openshift-kube-scheduler_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:0b 10.129.0.11
2024-10-24T13:04:09.932058136Z 2024-10-24T13:04:09.931Z|00070|binding|INFO|Setting lport openshift-kube-scheduler_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:04:09.932058136Z 2024-10-24T13:04:09.931Z|00071|binding|INFO|Setting lport openshift-kube-scheduler_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:04:10.137327378Z 2024-10-24T13:04:10.137Z|00072|binding|INFO|Claiming lport openshift-cluster-samples-operator_cluster-samples-operator-68ff7cdcb6-z7zcl for this chassis.
2024-10-24T13:04:10.137424088Z 2024-10-24T13:04:10.137Z|00073|binding|INFO|openshift-cluster-samples-operator_cluster-samples-operator-68ff7cdcb6-z7zcl: Claiming 0a:58:0a:81:00:0c 10.129.0.12
2024-10-24T13:04:10.154381767Z 2024-10-24T13:04:10.154Z|00074|binding|INFO|Setting lport openshift-cluster-samples-operator_cluster-samples-operator-68ff7cdcb6-z7zcl ovn-installed in OVS
2024-10-24T13:04:10.154482228Z 2024-10-24T13:04:10.154Z|00075|binding|INFO|Setting lport openshift-cluster-samples-operator_cluster-samples-operator-68ff7cdcb6-z7zcl up in Southbound
2024-10-24T13:04:18.510249302Z 2024-10-24T13:04:18.509Z|00076|binding|INFO|Claiming lport openshift-multus_multus-admission-controller-749bf6f86d-f9cds for this chassis.
2024-10-24T13:04:18.510249302Z 2024-10-24T13:04:18.509Z|00077|binding|INFO|openshift-multus_multus-admission-controller-749bf6f86d-f9cds: Claiming 0a:58:0a:81:00:0e 10.129.0.14
2024-10-24T13:04:18.527680991Z 2024-10-24T13:04:18.527Z|00078|binding|INFO|Setting lport openshift-multus_multus-admission-controller-749bf6f86d-f9cds ovn-installed in OVS
2024-10-24T13:04:18.527764911Z 2024-10-24T13:04:18.527Z|00079|binding|INFO|Setting lport openshift-multus_multus-admission-controller-749bf6f86d-f9cds up in Southbound
2024-10-24T13:04:26.944614262Z 2024-10-24T13:04:26.944Z|00080|binding|INFO|Claiming lport openshift-multus_network-metrics-daemon-7wllj for this chassis.
2024-10-24T13:04:26.944714562Z 2024-10-24T13:04:26.944Z|00081|binding|INFO|openshift-multus_network-metrics-daemon-7wllj: Claiming 0a:58:0a:81:00:04 10.129.0.4
2024-10-24T13:04:26.961041532Z 2024-10-24T13:04:26.960Z|00082|binding|INFO|Setting lport openshift-multus_network-metrics-daemon-7wllj ovn-installed in OVS
2024-10-24T13:04:26.961178792Z 2024-10-24T13:04:26.961Z|00083|binding|INFO|Setting lport openshift-multus_network-metrics-daemon-7wllj up in Southbound
2024-10-24T13:04:40.138541396Z 2024-10-24T13:04:40.138Z|00084|binding|INFO|Claiming lport openshift-network-diagnostics_network-check-target-vkzwz for this chassis.
2024-10-24T13:04:40.138634516Z 2024-10-24T13:04:40.138Z|00085|binding|INFO|openshift-network-diagnostics_network-check-target-vkzwz: Claiming 0a:58:0a:81:00:05 10.129.0.5
2024-10-24T13:04:40.154571937Z 2024-10-24T13:04:40.154Z|00086|binding|INFO|Setting lport openshift-network-diagnostics_network-check-target-vkzwz ovn-installed in OVS
2024-10-24T13:04:40.154642328Z 2024-10-24T13:04:40.154Z|00087|binding|INFO|Setting lport openshift-network-diagnostics_network-check-target-vkzwz up in Southbound
2024-10-24T13:04:43.199498556Z 2024-10-24T13:04:43.199Z|00088|binding|INFO|Releasing lport openshift-kube-scheduler_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:04:43.199585946Z 2024-10-24T13:04:43.199Z|00089|binding|INFO|Setting lport openshift-kube-scheduler_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:04:49.445034325Z 2024-10-24T13:04:49.444Z|00090|binding|INFO|Claiming lport openshift-kube-scheduler_openshift-kube-scheduler-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:04:49.445107915Z 2024-10-24T13:04:49.445Z|00091|binding|INFO|openshift-kube-scheduler_openshift-kube-scheduler-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:0f 10.129.0.15
2024-10-24T13:04:49.464141936Z 2024-10-24T13:04:49.464Z|00092|binding|INFO|Setting lport openshift-kube-scheduler_openshift-kube-scheduler-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:04:49.464218656Z 2024-10-24T13:04:49.464Z|00093|binding|INFO|Setting lport openshift-kube-scheduler_openshift-kube-scheduler-guard-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:04:55.258362580Z 2024-10-24T13:04:55.258Z|00094|binding|INFO|Claiming lport openshift-kube-controller-manager_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:04:55.258463560Z 2024-10-24T13:04:55.258Z|00095|binding|INFO|openshift-kube-controller-manager_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:10 10.129.0.16
2024-10-24T13:04:55.274873201Z 2024-10-24T13:04:55.274Z|00096|binding|INFO|Setting lport openshift-kube-controller-manager_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:04:55.274965411Z 2024-10-24T13:04:55.274Z|00097|binding|INFO|Setting lport openshift-kube-controller-manager_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:05:07.639308899Z 2024-10-24T13:05:07.639Z|00098|binding|INFO|Claiming lport openshift-etcd_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:05:07.639308899Z 2024-10-24T13:05:07.639Z|00099|binding|INFO|openshift-etcd_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:11 10.129.0.17
2024-10-24T13:05:07.656202701Z 2024-10-24T13:05:07.656Z|00100|binding|INFO|Setting lport openshift-etcd_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:05:07.656202701Z 2024-10-24T13:05:07.656Z|00101|binding|INFO|Setting lport openshift-etcd_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:05:11.448450688Z 2024-10-24T13:05:11.448Z|00102|binding|INFO|Releasing lport openshift-etcd_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
2024-10-24T13:05:11.449092308Z 2024-10-24T13:05:11.449Z|00103|binding|INFO|Setting lport openshift-etcd_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 down in Southbound
2024-10-24T13:05:12.813044205Z 2024-10-24T13:05:12.812Z|00104|binding|INFO|Claiming lport openshift-kube-scheduler_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:05:12.813044205Z 2024-10-24T13:05:12.812Z|00105|binding|INFO|openshift-kube-scheduler_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:12 10.129.0.18
2024-10-24T13:05:12.829059456Z 2024-10-24T13:05:12.828Z|00106|binding|INFO|Setting lport openshift-kube-scheduler_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:05:12.829059456Z 2024-10-24T13:05:12.829Z|00107|binding|INFO|Setting lport openshift-kube-scheduler_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:05:14.238451676Z 2024-10-24T13:05:14.238Z|00108|binding|INFO|Claiming lport openshift-etcd_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:05:14.238451676Z 2024-10-24T13:05:14.238Z|00109|binding|INFO|openshift-etcd_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:13 10.129.0.19
2024-10-24T13:05:14.255289987Z 2024-10-24T13:05:14.255Z|00110|binding|INFO|Setting lport openshift-etcd_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:05:14.255950908Z 2024-10-24T13:05:14.255Z|00111|binding|INFO|Setting lport openshift-etcd_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:05:25.333909035Z 2024-10-24T13:05:25.333Z|00112|binding|INFO|Claiming lport openshift-marketplace_redhat-operators-skqd4 for this chassis.
2024-10-24T13:05:25.334000695Z 2024-10-24T13:05:25.333Z|00113|binding|INFO|openshift-marketplace_redhat-operators-skqd4: Claiming 0a:58:0a:81:00:14 10.129.0.20
2024-10-24T13:05:25.351307196Z 2024-10-24T13:05:25.351Z|00114|binding|INFO|Setting lport openshift-marketplace_redhat-operators-skqd4 up in Southbound
2024-10-24T13:05:25.351921766Z 2024-10-24T13:05:25.351Z|00115|binding|INFO|Setting lport openshift-marketplace_redhat-operators-skqd4 ovn-installed in OVS
2024-10-24T13:05:28.185868028Z 2024-10-24T13:05:28.185Z|00116|binding|INFO|Claiming lport openshift-kube-controller-manager_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:05:28.185941218Z 2024-10-24T13:05:28.185Z|00117|binding|INFO|openshift-kube-controller-manager_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:15 10.129.0.21
2024-10-24T13:05:28.204081239Z 2024-10-24T13:05:28.204Z|00118|binding|INFO|Setting lport openshift-kube-controller-manager_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:05:28.204081239Z 2024-10-24T13:05:28.204Z|00119|binding|INFO|Setting lport openshift-kube-controller-manager_installer-3-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:05:29.070380167Z 2024-10-24T13:05:29.070Z|00120|binding|INFO|Claiming lport openshift-machine-api_machine-api-controllers-7785d897-m4jlj for this chassis.
2024-10-24T13:05:29.070380167Z 2024-10-24T13:05:29.070Z|00121|binding|INFO|openshift-machine-api_machine-api-controllers-7785d897-m4jlj: Claiming 0a:58:0a:81:00:16 10.129.0.22
2024-10-24T13:05:29.090932919Z 2024-10-24T13:05:29.090Z|00122|binding|INFO|Setting lport openshift-machine-api_machine-api-controllers-7785d897-m4jlj up in Southbound
2024-10-24T13:05:29.091713779Z 2024-10-24T13:05:29.091Z|00123|binding|INFO|Setting lport openshift-machine-api_machine-api-controllers-7785d897-m4jlj ovn-installed in OVS
2024-10-24T13:05:30.060410284Z 2024-10-24T13:05:30.060Z|00124|binding|INFO|Releasing lport openshift-kube-controller-manager_installer-2-ci-op-2fcpj5j6-f6035-2lklf-master-0 from this chassis (sb_readonly=0)
